 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 788 12 1 ZTF_r 1931238514515 0 1.811 264.959 13.3161 26.3251 2.39425e-05 0.0343266 0.116149 3.37329e-05 327 30. 0.088443 0.079067 19.8037 26.3251 1 2459685.7385185 788120245 1 109.621412755945 57.1233502856961 2.13469840199355 1.27423656995504 -11.8394088151908 107.800422681884 -0.110566801300153 1.0508016257866 0.551987440985924 17.8479999542236 0.0610000006854534 4.52099990844727 0.305999994277954 2458182.832801 2458224.749641 0
 20 787 9 0 ZTF_r 1931239453215 4194304 2.0582 241.704 21.4721 26.2831 2.34659e-05 0.0326935 0.108091 3.15087e-05 312 30. 0.086996 0.073316 16.6017 26.2831 1 2459685.739456 787120232 1 -26.9797909481422 59.0792862775147 -0.507993483545689 1.33272592067608 -88.138195534812 105.271976002418 -0.842881597954653 1.06146997824532 0.462397800485168 17.9640001296997 0.0590000003576279 4.32499980926514 0.386999994516373 2458160.745150 2458229.694375 0
 21 787 9 0 ZTF_g 1931331483215 4194304 2.2562 162.094 20.0751 26.2734 4.98816e-05 0.0399984 -0.0530771 9.28207e-05 190 30. 0.098273 0.089857 17.5182 26.2734 1 2459685.8314815 787120132 1 90.6067813146608 91.956020819461 1.09606253731444 0.971048610044329 72.6327302399446 162.46345830935 0.450082231524304 1.08369943330673 0.438649327263071 18.9789998054504 0.0759999975562096 5.01700019836426 0.462999999523163 2458166.884375 2458276.724259 0
 22 788 12 1 ZTF_g 1931383694515 0 3.1649 138.837 18.6031 26.2895 7.1525e-05 0.0410556 -0.0447633 0.000131711 151 30. 0.116228 0.107219 18.9182 26.2895 1 2459685.8836921 788120145 1 -236.392647905362 116.675677195409 -2.25376399318089 1.0798759889113 -172.782323682152 165.376240050439 -1.05181991391335 1.13481753824259 0.559311090529057 18.9760000228882 0.0670000016689301 4.8600001335144 0.347000002861023 2458166.882269 2458272.703889 0
 23 787 9 0 ZTF_i 1933324983215 0 2.4081 400.542 9.7769 25.6415 7.513e-06 0.0287085 0.184389 2.34777e-05 315 30. 0.100351 0.091971 19.2075 25.6415 2 2459687.8249884 787120332 1 34.0674786253235 52.8102270988934 0.717590628152233 1.10819236017415 60.1208221180953 89.8955556287382 0.673289562434804 1.07736352395131 0.406091475756576 17.3470002746582 0.0659999996423721 4.44299983978271 0.331999987363815 2458174.769132 2458561.945544 0
 24 788 12 1 ZTF_i 1933325924515 0 2.3718 326.382 9.66608 25.6783 5.2717e-06 0.0254605 0.193941 1.67148e-05 331 30. 0.105628 0.087454 19.2501 25.6783 2 2459687.8259259 788120345 1 -68.7523557413894 52.3659592665141 -1.46047228875943 0.954119396054469 -113.535589243738 90.2053706134182 -1.26711145015296 1.05684532940029 0.555405588655895 17.4110004043579 0.0599999986588955 4.40100002288818 0.29899999499321 2458223.733542 2458557.846713 0
 25 787 9 0 ZTF_g 1934187583215 4194304 2.1719 125.021 5.33329 26.2804 3.31716e-05 0.0382743 -0.0877134 4.49029e-05 303 30. 0.117887 0.076112 20.5772 26.2804 1 2459688.687581 787120132 0 -41.7478747408878 27.6909052631496 -1.67707320063193 1.3643540310665 -43.0084201201581 48.6927565607381 -0.889209963912065 1.07502229938245 0.438649327263071 18.9789998054504 0.0759999975562096 5.01700019836426 0.462999999523163 2458166.884375 2458276.724259 0
 26 788 12 1 ZTF_g 1934281054515 0 2.6116 142.194 10.798 26.3369 2.82844e-05 0.0350872 -0.0612279 5.00676e-05 262 30. 0.103736 0.077213 19.6841 26.3369 1 2459688.7810532 788120145 1 -29.5562269686555 58.90763964739 -0.558125894880009 1.08100383702011 -78.8936274227197 94.0004824289602 -0.844942265084373 1.0762213904545 0.559311090529057 18.9760000228882 0.0670000016689301 4.8600001335144 0.347000002861023 2458166.882269 2458272.703889 0
 27 787 9 0 ZTF_r 1934342953215 4194304 2.2497 204.129 28.9253 26.0569 5.33707e-05 0.0483997 0.123532 7.17523e-05 305 30. 0.095568 0.078986 16.7985 26.0569 1 2459688.8429514 787120232 1 -65.8621110572647 60.9028491288101 -1.20296457371613 1.12194965512877 -135.094956551917 107.284374811507 -1.26770397922273 1.06691320887134 0.462397800485168 17.9640001296997 0.0590000003576279 4.32499980926514 0.386999994516373 2458160.745150 2458229.694375 0
 28 788 12 1 ZTF_r 1934343884515 0 2.532 250.229 13.1288 26.1962 2.81043e-05 0.0373614 0.119777 3.95381e-05 325 30. 0.098323 0.083835 19.428 26.1962 1 2459688.8438889 788120245 1 104.102305425097 73.5005449816768 1.57552242580444 0.962889235032298 55.4468878097353 120.328185867348 0.463900667885103 1.0751752761982 0.551987440985924 17.8479999542236 0.0610000006854534 4.52099990844727 0.305999994277954 2458182.832801 2458224.749641 0
